Democracy based on PolityIV,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,
Afghanistan,0,-7,-7,-7,-7,-7,,,,,,,,,,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,
Albania,5,0,5,5,5,5,5,7,7,7,9,9,9,9,9,9,9
Algeria,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,2,2,2,2,2,2,2
American Samoa,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,
Angola,-2,-2,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
Anguilla,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,
Argentina,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8
Armenia,3,-6,-6,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Aruba,,,,,,,,,,,,,,,,,
Australia,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Austria,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Azerbaijan,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
Bahamas,,,,,,,,,,,,,,,,,
Bahrain,-9,-9,-9,-9,-9,-9,-8,-7,-7,-7,-7,-7,-7,-7,-7,-5,-8
Bangladesh,6,6,6,6,6,6,6,6,6,6,6,6,-6,-6,5,5,5
Barbados,,,,,,,,,,,,,,,,,
Belarus,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
Belgium,10,10,10,10,10,10,10,10,10,10,10,10,8,8,8,8,8
Belize,,,,,,,,,,,,,,,,,
Benin,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7
Bermuda,,,,,,,,,,,,,,,,,
Bhutan,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-6,-6,-6,3,3,3,3
Bolivia,9,9,9,9,9,9,9,9,8,8,8,8,8,8,7,7,7
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,
Botswana,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Brazil,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
British Virgin Islands,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,
Bulgaria,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9
Burkina Faso,-5,-5,-4,-4,-4,-3,0,0,0,0,0,0,0,0,0,0,0
Burundi,0,-5,-5,-1,-1,-1,0,2,3,5,6,6,6,6,6,6,6
Cambodia,1,1,-7,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Cameroon,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
Canada,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Cape Verde,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10
Cayman Islands,,,,,,,,,,,,,,,,,
Central African Rep.,5,5,5,5,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chad,-4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
Channel Islands,,,,,,,,,,,,,,,,,
Chile,8,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10
China,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
Christmas Island,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,
Colombia,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Comoros,0,4,4,4,-2,-1,0,4,4,6,6,9,9,9,9,9,9
Congo,5,5,-6,-6,-6,-6,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
Cook Islands,,,,,,,,,,,,,,,,,
Costa Rica,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Cote dIvoire,-6,-6,-6,-6,-1,4,4,0,0,0,0,0,0,0,0,0,0
Croatia,-5,-5,-5,-5,1,8,8,8,8,8,9,9,9,9,9,9,9
Cuba,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
Cyprus,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Czech Rep.,10,10,10,10,10,10,10,10,10,10,10,8,8,8,8,8,8
Czechoslovakia,,,,,,,,,,,,,,,,,
Denmark,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Djibouti,-7,-6,-6,-6,2,2,2,2,2,2,2,2,2,2,2,2,2
Dominica,,,,,,,,,,,,,,,,,
Dominican Rep.,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
East Germany,,,,,,,,,,,,,,,,,
Ecuador,9,9,8,9,9,6,6,6,6,6,6,7,5,5,5,5,5
Egypt,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-3,-3,-3,-3,-3,-3,-2
El Salvador,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8
Equatorial Guinea,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
Eritrea,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,
Estonia,6,6,6,6,7,9,9,9,9,9,9,9,9,9,9,9,9
Ethiopia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faeroe Islands,,,,,,,,,,,,,,,,,
Falkland Islands,,,,,,,,,,,,,,,,,
Fiji,5,5,5,5,6,5,5,5,5,6,6,-3,-4,-4,-4,-4,-4
Finland,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
France,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
French Guiana,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,
Gabon,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,3,3
Gambia,-7,-6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
Georgia,5,5,5,5,5,5,5,5,5,7,7,7,6,6,6,6,6
Germany,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Ghana,-1,2,2,2,2,2,6,6,6,8,8,8,8,8,8,8,8
Gibraltar,,,,,,,,,,,,,,,,,
Greece,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Greenland,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,
Guadeloupe,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,
Guatemala,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Guernsey,,,,,,,,,,,,,,,,,
Guinea,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5
Guinea-Bissau,5,5,5,0,3,5,5,5,-1,-1,6,6,6,6,6,6,6
Guyana,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Haiti,7,7,7,7,2,-2,-2,-2,-2,0,3,5,5,5,5,0,0
Holy See,,,,,,,,,,,,,,,,,
Honduras,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7
Hong Kong, China,,,,,,,,,,,,,,,,,
Hungary,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Iceland,,,,,,,,,,,,,,,,,
India,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Indonesia,-7,-7,-7,-5,6,6,6,6,6,8,8,8,8,8,8,8,8
Iran,-6,-6,3,3,3,3,3,3,3,-6,-6,-6,-6,-6,-7,-7,-7
Iraq,-9,-9,-9,-9,-9,-9,-9,-9,-7,-6,-5,-3,-1,0,1,3,3
Ireland,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Isle of Man,,,,,,,,,,,,,,,,,
Israel,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10
Italy,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Jamaica,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Japan,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Jersey,,,,,,,,,,,,,,,,,
Jordan,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-3,-3,-3,-3
Kazakhstan,-4,-4,-4,-4,-4,-4,-4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
Kenya,-5,-5,-2,-2,-2,-2,-2,8,8,8,8,8,7,7,7,8,8
Kiribati,,,,,,,,,,,,,,,,,
South Korea,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Kosovo,,,,,,,,,,,,,,8,8,8,8
Kuwait,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
Kyrgyzstan,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,4,3,3,1,4,7
Laos,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
Latvia,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Lebanon,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7
Lesotho,8,8,8,0,2,4,6,8,8,8,8,8,8,8,8,8,8
Liberia,0,0,0,0,0,0,0,0,1,3,5,6,6,6,6,6,6
Libya,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0
Liechtenstein,,,,,,,,,,,,,,,,,
Lithuania,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Luxembourg,,,,,,,,,,,,,,,,,
Macao, China,,,,,,,,,,,,,,,,,
Macedonia,6,6,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9
Madagascar,9,9,8,7,7,7,7,7,7,7,7,7,7,7,0,0,0
Malawi,6,6,6,6,6,6,4,4,5,6,6,6,6,6,6,6,6
Malaysia,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6
Maldives,,,,,,,,,,,,,,,,,
Mali,7,7,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7
Malta,,,,,,,,,,,,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,
Martinique,,,,,,,,,,,,,,,,,
Mauritania,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-3,4,-5,-2,-2,-2
Mauritius,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Mayotte,,,,,,,,,,,,,,,,,
Mexico,4,4,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8
Moldova,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8
Monaco,,,,,,,,,,,,,,,,,
Mongolia,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Montenegro,-7,-7,-6,-6,-6,7,7,7,6,6,6,9,9,9,9,9,9
Montserrat,,,,,,,,,,,,,,,,,
Morocco,-7,-7,-7,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4
Mozambique,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Myanmar,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-8,-8,-8,-6,-6,-6,-3
Namibia,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Nauru,,,,,,,,,,,,,,,,,
Nepal,5,5,5,5,6,6,6,-6,-6,-6,-6,6,6,6,6,6,6
Netherlands,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Netherlands Antilles,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,
New Zealand,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Ngorno-Karabakh,,,,,,,,,,,,,,,,,
Nicaragua,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9
Niger,8,-6,-6,-6,5,5,5,5,5,6,6,6,6,6,-3,3,6
Nigeria,-6,-6,-6,-1,4,4,4,4,4,4,4,4,4,4,4,4,4
Niue,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,
Norway,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Oman,-9,-9,-9,-9,-9,-9,-9,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
Pakistan,8,8,7,7,-6,-6,-6,-5,-5,-5,-5,-5,2,5,5,6,6
Palau,,,,,,,,,,,,,,,,,
Panama,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Papua New Guinea,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Paraguay,7,7,7,6,7,7,7,7,8,8,8,8,8,8,8,8,8
Peru,1,1,1,1,1,5,9,9,9,9,9,9,9,9,9,9,9
Philippines,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Pitcairn,,,,,,,,,,,,,,,,,
Poland,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10
Portugal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Puerto Rico,,,,,,,,,,,,,,,,,
Qatar,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
Reunion,,,,,,,,,,,,,,,,,
Romania,5,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9
Russia,3,3,3,3,3,6,6,6,6,6,6,6,4,4,4,4,4
Rwanda,-6,-6,-6,-6,-6,-4,-4,-4,-3,-3,-3,-3,-3,-3,-3,-4,-4
Saint Barthélemy,,,,,,,,,,,,,,,,,
Saint Helena,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,,,,
Saint Martin,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,
Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,
Saudi Arabia,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
Senegal,-1,-1,-1,-1,-1,8,8,8,8,8,8,8,7,7,7,7,7
Serbia,-7,-7,-6,-6,-6,7,7,7,6,6,6,8,8,8,8,8,8
Serbia and Montenegro,,,,,,,,,6,6,6,6,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,
Sierra Leone,-7,4,0,0,0,0,2,5,5,5,5,5,7,7,7,7,7
Singapore,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
Slovak Republic,7,7,7,9,9,9,9,9,9,9,9,10,10,10,10,10,10
Slovenia,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Solomon Islands,8,8,8,8,8,0,0,0,4,8,8,8,8,8,8,8,8
Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somaliland,,,,,,,,,,,,,,,,,
South Africa,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
South Ossetia,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,0
Spain,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Sri Lanka,5,5,5,5,5,5,6,6,5,5,5,6,6,6,6,4,4
Sudan,-7,-7,-7,-7,-7,-7,-7,-6,-6,-6,-4,-4,-4,-4,-4,-2,-2
Suriname,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Svalbard,,,,,,,,,,,,,,,,,
Swaziland,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Sweden,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Switzerland,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Syria,-9,-9,-9,-9,-9,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
Taiwan,7,8,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10
Tajikistan,-6,-6,-5,-1,-1,-1,-1,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3
Tanzania,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Thailand,9,9,9,9,9,9,9,9,9,9,9,-5,-1,4,4,4,7
Timor-Leste,,,,,,,,6,6,6,6,7,7,7,7,7,7
Togo,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-4,-2,-2
Tokelau,,,,,,,,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,
Transnistria,,,,,,,,,,,,,,,,,
Trinidad and Tobago,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Tunisia,-3,-3,-3,-3,-3,-3,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,
Turkey,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9
Turkmenistan,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Turks and Caicos Islands,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,
Uganda,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1
Ukraine,7,7,7,7,7,6,6,6,6,6,6,7,7,7,7,6,6
United Arab Emirates,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
United Kingdom,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
United States,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Uruguay,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
USSR,,,,,,,,,,,,,,,,,
Uzbekistan,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Wallis et Futuna,,,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,
Venezuela,8,8,8,8,7,7,6,6,6,6,6,5,5,5,-3,-3,-3
West Bank and Gaza,,,,,,,,,,,,,,,,,
West Germany,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,,
Vietnam,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,
Yemen,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
Yugoslavia,-7,-7,-6,-6,-6,7,7,7,,,,,,,,,
Zambia,6,1,1,1,1,1,5,5,5,5,5,5,5,7,7,7,7
Zimbabwe,-6,-6,-6,-6,-3,-3,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1
Åland,,,,,,,,,,,,,,,,,
Baden,,,,,,,,,,,,,,,,,
Bavaria,,,,,,,,,,,,,,,,,
Gran Colombia,,,,,,,,,,,,,,,,,
Modena,,,,,,,,,,,,,,,,,
Orange Free State,,,,,,,,,,,,,,,,,
Parma,,,,,,,,,,,,,,,,,
Prussia,,,,,,,,,,,,,,,,,
Sardinia,,,,,,,,,,,,,,,,,
Saxony,,,,,,,,,,,,,,,,,
