name,group,Labour Unions,The Press,Womens Organizations,The Police,The Parliament,The Church,Political Parties,The Armed Forces,Television,The Government,The Civil Services
Algeria,Africa,0.3078,0.3206,0.3272,0.5527,0.2757,0.7259,0.2293,0.5723,0.4324,0.3874,0.3875
Azerbaijan,Asia,0.4450,0.5125,0.4940,0.6030,0.6370,0.4595,0.4104,0.7490,0.6350,0.8010,0.6300
Argentina,South America,0.1709,0.3758,0.4489,0.2525,0.2610,0.5238,0.1556,0.3006,0.3523,0.3228,0.1679
Australia,Oceania,0.2710,0.1663,0.6619,0.8416,0.2897,0.3164,0.1334,0.8780,0.1957,0.3052,0.4473
Armenia,Asia,0.1795,0.2847,0.4213,0.3928,0.2683,0.8133,0.2356,0.8861,0.3263,0.3967,0.3595
Brazil,South America,0.3977,0.4646,0.6486,0.4518,0.2137,0.7064,0.1606,0.6175,0.4090,0.4141,0.5126
Belarus,Europe,0.4453,0.3916,0.5845,0.5482,0.4944,0.7312,0.3532,0.7465,0.4608,0.5634,0.6596
Chile,South America,0.4498,0.5391,0.7196,0.6461,0.2526,0.5763,0.1714,0.5565,0.5683,0.3411,0.3299
China,Asia,0.6549,0.6992,0.8062,0.7335,0.8697,0.2419,0.8505,0.9251,0.7200,0.9216,0.7784
Taiwan,Asia,0.6298,0.3031,0.8479,0.6462,0.2977,0.7096,0.2406,0.5616,0.3742,0.4731,0.6272
Colombia,South America,0.2123,0.3658,0.7320,0.4554,0.2108,0.7452,0.1741,0.5654,0.3719,0.3958,0.2313
Cyprus,Asia,0.4391,0.4365,0.6890,0.5688,0.4251,0.6707,0.2370,0.6737,0.5010,0.3945,0.4563
Ecuador,South America,0.2857,0.4585,0.5385,0.4710,0.2973,0.7770,0.2352,0.5802,0.4520,0.5055,0.2375
Estonia,Europe,0.5891,0.4505,0.7143,0.7780,0.4203,0.6393,0.2807,0.7263,0.6529,0.5355,0.7202
Georgia,Asia,0.2322,0.2265,0.6133,0.5145,0.3078,0.8780,0.2124,0.7890,0.2794,0.3400,0.4942
Palestine,Asia,0.2906,0.3914,0.3277,0.5561,0.3191,0.7042,0.2315,0.4859,0.4990,0.4068,0.4235
Germany,Europe,0.4892,0.4480,0.6781,0.8261,0.4471,0.3814,0.2451,0.6584,0.4778,0.4512,0.5531
Ghana,Africa,0.5840,0.6116,0.7230,0.5680,0.5636,0.8930,0.4190,0.7898,0.7293,0.6080,0.6750
Haiti,North America,0.3720,0.2408,0.2259,0.0440,0.1679,0.0933,0.0533,0.0575,0.3470,0.0513,0.0894
HongKong,Asia,0.4762,0.4061,0.7233,0.7984,0.4611,0.5765,0.2810,0.5822,0.4528,0.5970,0.5951
India,Asia,0.6331,0.7186,0.7500,0.5120,0.5834,0.9617,0.3740,0.8714,0.7449,0.5039,0.6097
Iraq,Asia,0.2665,0.2772,0.4184,0.5804,0.2209,0.7699,0.1137,0.6113,0.4924,0.3975,0.2366
Japan,Asia,0.3997,0.7377,0.3622,0.7248,0.2281,0.0906,0.1713,0.7599,0.6967,0.2743,0.3689
Kazakhstan,Asia,0.4440,0.5290,0.5924,0.5030,0.6710,0.6186,0.5514,0.7193,0.6400,0.7480,0.6743
Jordan,Asia,0.3260,0.3350,0.3673,0.8249,0.2251,0.7518,0.1147,0.9085,0.4062,0.5553,0.4596
SouthKorea,Asia,0.3883,0.6112,0.5813,0.5842,0.2560,0.5050,0.2623,0.6356,0.6333,0.4960,0.4824
Kyrgyzstan,Asia,0.5327,0.5638,0.5783,0.5512,0.5543,0.5177,0.5110,0.6402,0.6754,0.5799,0.6215
Lebanon,Asia,0.3430,0.3525,0.4034,0.4357,0.3229,0.4336,0.2744,0.4697,0.3645,0.2785,0.3473
Libya,Africa,0.2461,0.1922,0.3984,0.5798,0.1558,0.5081,0.0669,0.5233,0.1954,0.2448,0.4585
Malaysia,Asia,0.7773,0.6860,0.7748,0.7377,0.6900,0.9139,0.6196,0.8016,0.7077,0.7518,0.7768
Mexico,North America,0.2368,0.2989,0.6677,0.2843,0.2530,0.6420,0.2202,0.5914,0.3373,0.3882,0.2130
Morocco,Africa,0.3175,0.4859,0.6026,0.6536,0.3875,0.9065,0.2800,0.7768,0.4745,0.4769,0.5077
Netherlands,Europe,0.4211,0.3545,0.4736,0.6774,0.3505,0.2394,0.1924,0.5568,0.4134,0.3463,0.3584
New Zealand,Oceania,0.3049,0.2719,0.5109,0.8229,0.3923,0.4610,0.1665,0.8227,0.3695,0.4945,0.4977
Nigeria,Africa,0.4820,0.6150,0.5640,0.2993,0.3980,0.9210,0.3150,0.6440,0.7223,0.3794,0.5900
Pakistan,Asia,0.4627,0.4239,0.4531,0.2102,0.2795,0.9808,0.3105,0.8433,0.5545,0.3714,0.3914
Peru,South America,0.1840,0.3145,0.5505,0.2807,0.1213,0.6710,0.1076,0.3374,0.3498,0.2220,0.1497
Philippines,Asia,0.5115,0.6730,0.8437,0.6707,0.5970,0.9479,0.4870,0.7127,0.7600,0.5776,0.6587
Poland,Europe,0.2438,0.2891,0.6063,0.5361,0.1173,0.5937,0.0771,0.6768,0.3076,0.1672,0.2120
Romania,Europe,0.1918,0.2802,0.4977,0.4309,0.1552,0.7351,0.1199,0.6729,0.3374,0.1889,0.2669
Russia,Europe,0.3279,0.3429,0.5390,0.3306,0.3427,0.6731,0.2805,0.6663,0.4181,0.5011,0.5071
Rwanda,Africa,0.5015,0.5170,0.5410,0.6330,0.6500,0.6020,0.5070,0.6476,0.4770,0.6350,0.6094
Singapore,Asia,0.5980,0.5890,0.6727,0.7940,0.7542,0.7200,0.6940,0.7720,0.5970,0.7980,0.7645
Slovenia,Europe,0.1876,0.2343,0.4595,0.4300,0.0615,0.2454,0.0350,0.3488,0.3320,0.0792,0.1030
South Africa,Africa,0.4489,0.5538,0.5480,0.4694,0.4508,0.7794,0.3808,0.5005,0.6548,0.4782,0.4474
Zimbabwe,Africa,0.4630,0.3910,0.6380,0.5650,0.4850,0.8700,0.3870,0.5976,0.4950,0.5080,0.5280
Spain,Europe,0.2201,0.3164,0.4995,0.5953,0.3515,0.2774,0.1532,0.5236,0.2973,0.2099,0.4025
Sweden,Europe,0.5417,0.3675,0.6751,0.7950,0.6101,0.5118,0.4337,0.5366,0.5101,0.6081,0.6133
Thailand,Asia,0.4548,0.4479,0.7249,0.4802,0.4724,0.7513,0.3763,0.7082,0.5254,0.5373,0.6008
Trinidad and Tobago,North America,0.2364,0.3009,0.6047,0.2872,0.2785,0.6701,0.2309,0.4316,0.3493,0.3670,0.3572
Tunisia,Africa,0.2177,0.1914,0.1898,0.6201,0.0661,0.4881,0.0342,0.6319,0.2194,0.1928,0.3291
Turkey,Asia,0.4170,0.4084,0.5886,0.7546,0.5637,0.7431,0.3617,0.7564,0.4527,0.6041,0.5998
Ukraine,Europe,0.3920,0.5310,0.5460,0.3163,0.2042,0.7520,0.2202,0.5876,0.5604,0.2537,0.4440
United States,North America,0.2513,0.2312,0.5230,0.6948,0.2085,0.5866,0.1278,0.8318,0.2434,0.3330,0.4626
Uruguay,South America,0.3176,0.4609,0.7557,0.5703,0.4231,0.4082,0.3347,0.3813,0.4321,0.6101,0.2611
Uzbekistan,Asia,0.7781,0.8347,0.9115,0.8486,0.9499,0.8386,0.8432,0.9611,0.8828,0.9714,0.9154
Yemen,Asia,0.2211,0.1063,0.3238,0.3181,0.1188,0.8076,0.0956,0.4159,0.1940,0.2976,0.1225
